Rooms,Brand,Extended Stay,Parent Company,Property Name,Market Name,Submarket Name,Hotel Class,Scale,Operation Type,Constr Status,Operational Status,Expansion Rooms,Expansion Status Month,Expansion Status Year,Expansion Status,Property Address,City,State,Zip,Year Built,Year Renovated,Hotel Open Date,Data Participation,Mtg Rooms,Total Mtg Space,Max Contig Mtg Space,Hotel Location Type,Secondary Type,All-Inclusive,All-Suites,Primary Corridors,Number Of Stories,Number Of Parking Spaces,Parking Spaces/Room,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Segment,Lat,Long
80,Cobblestone,0,"Cobblestone Hotels, LLC","Cobblestone Hotel & Suites Main Street Bellefontaine, Ohio",Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,171 Dowell Ave,Bellefontaine,OH,43311,2025,,06/18/2025,,,,,Small Metro/Town,Hotel,No,No,Interior,4,,,11/30/2023,39091C0169E,39091C,0169E,No,100-year and 500-year Floodplain,Upper Midscale,40.376957,-83.751656
99,Fairfield Inn,0,Marriott International,Fairfield Inn & Suites Cambridge,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,8700 Dozer Rd,Cambridge,OH,43725,2016,,09/07/2016,Monthly,1,238,238,Interstate,Hotel,No,No,Interior,4,111,1.121212121,08/16/2011,39059C0277D,39059C,0277D,No,100-year and 500-year Floodplain,Upper Midscale,39.997929,-81.581716
5,,,,Bexley Bed and Breakfast,Columbus,Columbus Airport Area,Upper Midscale,Independent,Independent,Existing,Open,,,,,519 S Drexel Ave,Bexley,OH,43209-2145,1927,2015,04/01/2015,,,,,Airport,Bed and Breakfast,No,No,Interior,3,5,1,06/17/2008,39049C0329K,39049C,0329K,No,100-year and 500-year Floodplain,Upper Midscale,39.958186,-82.938146
80,TownePlace Suites,Extended Stay,Marriott International,TownePlace Suites By Marriott Sidney,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,420 Folkerth Ave,Sidney,OH,45365,2021,,10/08/2021,Monthly,,,,Interstate,Hotel,No,Yes,Interior,2,,,04/02/2015,39149C0166D,39149C,0166D,No,100-year and 500-year Floodplain,Upper Midscale,40.289756,-84.184989
80,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Sidney,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,450 Folkerth Ave,Sidney,OH,45365,2014,,10/01/2014,Monthly,1,962,962,Interstate,Hotel,No,No,Interior,4,,,04/02/2015,39149C0166D,39149C,0166D,No,100-year and 500-year Floodplain,Upper Midscale,40.291067,-84.184072
113,Best Western Plus,0,BWH Hotels,Best Western Plus Franciscan Square Inn and Suites Steubenville,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,200 Franciscan Sq,Steubenville,OH,43952,2016,,01/01/2016,Monthly,2,600,315,Small Metro/Town,Hotel,No,No,Interior,4,,,04/19/2010,54009C0076D,39081C,0076D,No,100-year and 500-year Floodplain,Upper Midscale,40.373185,-80.620981
59,Comfort Inn,0,"Choice Hotels International, Inc.",Comfort Inn Millersburg,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1102 Glen Dr,Millersburg,OH,44654,1997,2004,07/15/1997,Monthly,1,800,800,Small Metro/Town,Hotel,No,No,Interior,3,67,1.13559322,12/02/2008,39075C0191D,39075C,0191D,No,100-year and 500-year Floodplain,Upper Midscale,40.542436,-81.915035
84,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Painesville - Concord,"Cleveland, OH",Cleveland Surrounding Areas,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,11200 Gold Ct,Painesville,OH,44077,2019,,05/01/2019,Monthly,3,1200,1200,Suburban,Hotel,No,No,Interior,4,,,,,,,No,,Upper Midscale,41.724488,-81.245657
20,,,,Pera's Motel,"Cleveland, OH",Cleveland Surrounding Areas,Upper Midscale,Independent,Independent,Existing,Open,,,,,4944 Golf Ave,Geneva,OH,44041,1951,,06/01/1955,,,,,Small Metro/Town,Hotel,No,No,Exterior,1,,,08/28/2019,39007C0127E,39007C,0127E,No,100-year and 500-year Floodplain,Upper Midscale,41.858865,-80.951955
97,Hampton by Hilton,0,Hilton Worldwide,Hampton Inn Suites by Hilton Cincinnati West,"Cincinnati, OH",Cincinnati Northwest,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,6336 Harrison Ave,Cincinnati,OH,45247,2022,,10/07/2022,Monthly & Daily,1,1200,1200,Suburban,Hotel,No,No,Interior,4,123,1.268041237,02/17/2010,39061C0185E,39061C,0185E,No,100-year and 500-year Floodplain,Upper Midscale,39.188659,-84.653354
57,Choice White Label Upper Midscale,,"Choice Hotels International, Inc.",Schoenbrunn Inn,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1186 W High Ave,New Philadelphia,OH,44663,1950,2005,11/01/1995,Monthly,4,7111,3432,Interstate,Hotel,No,No,Interior,2,73,1.280701754,07/22/2010,39157C0255D,39157C,0255D,Yes,100-year Floodplain,Upper Midscale,40.493125,-81.469982
88,TownePlace Suites,Extended Stay,Marriott International,TownePlace Suites New Philadelphia,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1298 W High Ave,New Philadelphia,OH,44663-6943,2023,,04/28/2023,Monthly,1,296,296,Interstate,Hotel,No,Yes,Interior,4,,,07/22/2010,39157C0255D,39157C,0255D,Yes,100-year Floodplain,Upper Midscale,40.493296,-81.473633
76,Comfort Inn,0,"Choice Hotels International, Inc.",Comfort Inn & Suites Caldwell,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,44380 W Hills Ln,Caldwell,OH,43724,2015,,02/01/2015,Monthly,,,,Interstate,Hotel,No,No,Interior,3,110,1.447368421,,,,,No,,Upper Midscale,39.747851,-81.516513
75,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express Wilmington,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,155 Holiday Dr,Wilmington,OH,45177,1997,2017,06/06/1997,Monthly,,0,0,Small Metro/Town,Hotel,No,No,Interior,3,82,1.093333333,,,,,No,,Upper Midscale,39.451994,-83.797806
94,TownePlace Suites,Extended Stay,Marriott International,TownePlace Suites By Marriott Dayton Wilmington,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,175 Holiday Dr,Wilmington,OH,45177,2021,,09/16/2021,Monthly,,,,Small Metro/Town,Hotel,No,Yes,Interior,5,36,0.382978723,11/19/2021,39027C0133E,39027C,0133E,No,100-year and 500-year Floodplain,Upper Midscale,39.451379,-83.797137
91,Hampton by Hilton,0,Hilton Worldwide,Hampton by Hilton Inn & Suites Wilmington,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,201 Holiday Dr,Wilmington,OH,45177,2007,,05/01/2007,Monthly & Daily,4,1980,1584,Small Metro/Town,Hotel,No,No,Interior,4,,,,,,,No,,Upper Midscale,39.453582,-83.798268
77,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites North Fremont,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1501 Hospitality Ct,Fremont,OH,43420,2012,,07/01/2012,Monthly,1,200,200,Interstate,Hotel,No,No,Interior,3,64,0.831168831,08/28/2019,39143C0140D,39143C,0140D,No,100-year and 500-year Floodplain,Upper Midscale,41.347341,-83.113497
76,Hampton by Hilton,0,Hilton Worldwide,Hampton Inn Defiance,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1037 Hotel Dr,Defiance,OH,43512,2009,,06/01/2009,Monthly & Daily,1,1080,1080,Small Metro/Town,Hotel,No,No,Interior,4,,,03/09/2021,39039C0265F,39039C,0265F,No,100-year and 500-year Floodplain,Upper Midscale,41.309214,-84.363938
64,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Defiance,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1148 Hotel Dr,Defiance,OH,43512,2001,2013,11/26/2001,Monthly,1,750,750,Small Metro/Town,Hotel,No,No,Interior,3,69,1.078125,03/09/2021,39039C0265F,39039C,0265F,No,100-year and 500-year Floodplain,Upper Midscale,41.31094,-84.362829
121,Fairfield Inn,0,Marriott International,Fairfield Inn & Suites Columbus Airport,Columbus,Columbus Airport Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,4300 International Gtwy,Columbus,OH,43219-1749,2013,,07/01/2014,Monthly,1,416,416,Airport,Hotel,No,No,Interior,4,130,1.074380165,,,,,No,,Upper Midscale,39.96226,-83.000707
56,Comfort Inn,0,"Choice Hotels International, Inc.",Comfort Inn Marion,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,256 James Way,Marion,OH,43302,1994,,04/01/1994,Monthly,,,,Small Metro/Town,Hotel,No,No,Interior,2,66,1.178571429,07/06/2010,39101C0230D,39101C,0230D,No,100-year and 500-year Floodplain,Upper Midscale,40.578743,-83.078991
73,,,,Camp Cedar,"Cincinnati, OH",Cincinnati Northeast,Upper Midscale,Independent,Independent,Existing,Open,,,,,5158 Kings Island Dr,Mason,OH,45040-2794,2021,,07/15/2021,,,,,Suburban,Hotel,No,Yes,Exterior,1,80,1.095890411,,,,,No,,Upper Midscale,39.360762,-84.255432
110,TownePlace Suites,Extended Stay,Marriott International,TownePlace Suites Lima,Ohio Area,Lima/Findlay,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,906 S Leonard Ave,Lima,OH,45804-3136,2021,,06/02/2021,Monthly,,,,Interstate,Hotel,No,Yes,Interior,4,112,1.018181818,12/11/2025,39011C0100D,39003C,0100D,Yes,100-year Floodplain,Upper Midscale,40.729542,-84.07933
54,Cobblestone,0,"Cobblestone Hotels, LLC",Cobblestone Hotel & Suites – Russells Point at Indian Lake,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,211 Lincoln Blvd,Russells Point,OH,43348-9681,2024,,12/13/2024,,,,,Small Metro/Town,Hotel,No,No,Interior,3,63,1.166666667,,,,,No,,Upper Midscale,40.46809,-83.888649
65,Comfort Inn,0,"Choice Hotels International, Inc.",Comfort Inn River's Edge Huron,Ohio Area,Sandusky/Port Clinton,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,132 Main St,Huron,OH,44839,1995,,06/01/1995,Monthly,3,5000,2000,Small Metro/Town,Hotel,No,No,Interior,3,61,0.938461538,09/01/2022,39043C0118E,39043C,0118E,Yes,100-year Floodplain,Upper Midscale,41.39607,-82.552551
81,Hampton by Hilton,0,Hilton Worldwide,Hampton Inn & Suites Ashland,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,2055 E Main St,Ashland,OH,44805,2017,,02/01/2017,Monthly & Daily,1,1296,1296,Interstate,Hotel,No,No,Interior,3,79,0.975308642,08/18/2009,39005C0235E,39005C,0235E,No,100-year and 500-year Floodplain,Upper Midscale,40.858058,-82.269157
54,Cobblestone,0,"Cobblestone Hotels, LLC",Cobblestone Hotel & Suites Orrville,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1720 N Main St,Orrville,OH,44667-9172,2017,,03/01/2017,Monthly & Daily,1,450,450,Small Metro/Town,Hotel,No,No,Interior,3,56,1.037037037,08/18/2009,39169C0250E,39169C,0250E,No,100-year and 500-year Floodplain,Upper Midscale,40.863564,-81.763462
113,Hampton by Hilton,0,Hilton Worldwide,Hampton Inn & Suites St Clairsville,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,67806 Mall Ring Rd,Saint Clairsville,OH,43950,2021,,04/14/2021,Monthly & Daily,1,621,621,Interstate,Hotel,No,No,Interior,4,52,0.460176991,,,,,No,,Upper Midscale,40.070524,-80.869537
81,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Marion,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1842 Marion Mount Gilead Rd,Marion,OH,43302,2001,,03/01/2001,Monthly,1,600,600,Small Metro/Town,Hotel,No,No,Interior,1,,,07/06/2010,39101C0230D,39101C,0230D,No,100-year and 500-year Floodplain,Upper Midscale,40.588626,-83.128735
99,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Lima,Ohio Area,Lima/Findlay,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1925 Motel Ave,Lima,OH,45804,2023,,09/15/2023,Monthly,1,340,340,Interstate,Hotel,No,No,Interior,4,,,12/11/2025,39011C0100D,39003C,0100D,No,100-year and 500-year Floodplain,Upper Midscale,40.739978,-84.105006
80,Comfort Inn,0,"Choice Hotels International, Inc.",Comfort Inn Bellefontaine,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,260 Northview Dr,Bellefontaine,OH,43311,1989,2004,07/01/1989,Monthly,1,600,200,Small Metro/Town,Hotel,No,No,Interior,2,94,1.175,11/30/2023,39091C0169E,39091C,0169E,No,100-year and 500-year Floodplain,Upper Midscale,40.379716,-83.75073
108,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Marietta,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,970 Pike St,Marietta,OH,45750,2016,,11/01/2016,Monthly,,,,Interstate,Hotel,No,No,Interior,4,,,11/06/2013,54107C0043D,39167C,0043D,Yes,100-year Floodplain,Upper Midscale,39.402235,-81.411
98,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Wooster,Ohio Area,Ohio North Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,128 Riffel Rd,Wooster,OH,44691,2020,,11/01/2020,Monthly,2,995,647,Small Metro/Town,Hotel,No,No,Interior,4,90,0.918367347,08/18/2009,39169C0202E,39169C,0202E,No,100-year and 500-year Floodplain,Upper Midscale,40.850627,-81.95502
89,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Wapakoneta,Ohio Area,Lima/Findlay,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1510 Saturn Dr,Wapakoneta,OH,45895,1971,2015,07/01/1971,Monthly,1,372,372,Interstate,Hotel,No,No,Interior,4,,,12/11/2025,39011C0183D,39011C,0183D,No,100-year and 500-year Floodplain,Upper Midscale,40.562993,-84.17105
116,Home2 Suites by Hilton,Extended Stay,Hilton Worldwide,Home2 Suites by Hilton West Chester Cincinnati,"Cincinnati, OH",Sharonville/Blue Ash,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,9246 Schulze Dr,West Chester,OH,45069-6531,2023,,12/29/2023,Monthly & Daily,2,200,100,Suburban,Hotel,No,Yes,Interior,3,67,0.577586207,,,,,No,,Upper Midscale,39.330336,-84.408275
82,Holiday Inn Express,0,IHG Hotels & Resorts,Holiday Inn Express & Suites Zanesville North,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,1101 Spring St,Zanesville,OH,43701,2009,2019,12/22/2009,Monthly,1,961,961,Interstate,Hotel,No,No,Interior,3,130,1.585365854,07/06/2010,39119C0305G,39119C,0305G,No,100-year and 500-year Floodplain,Upper Midscale,39.947226,-81.997023
87,Fairfield Inn,0,Marriott International,Fairfield Inn & Suites Athens,Ohio Area,Ohio South Area,Upper Midscale,Upper Midscale,Franchise,Existing,Open,,,,,924 E State St,Athens,OH,45701,2014,,06/01/2015,Monthly,1,528,528,Small Metro/Town,Hotel,No,No,Interior,3,87,1,09/26/2024,39009C0230D,39009C,0230D,Yes,100-year Floodplain,Upper Midscale,39.338039,-82.067275
