Title,City,State,Value,Status,BidDate,Uses,HasHotel,HasElderly,Lat,Lng
ABJ Apartments,Akron,OH,50142778,Pre-Construction/Negotiated,,"Multi-Residential, Office, Retail",FALSE,FALSE,41.0749,-81.5206
New Construction of Career Technology Center - 2024 Bond - Springfield-Clark Career Technology Center,Springfield,OH,89500000,Pre-Construction/Negotiated,,Educational,FALSE,FALSE,39.9001,-83.7932
Canal Pointe Building C,Canal Winchester,OH,30000000,Design,,Industrial,FALSE,FALSE,39.8556,-82.8026
RFQ Design - Old Chemistry Building Renovation/Addition,Cincinnati,OH,150000000,Under Construction,,Educational,FALSE,FALSE,39.1325,-84.5184
9th & High - Off-Campus Student Housing / Columbus,Columbus,OH,61000000,Under Construction,,Multi-Residential,FALSE,FALSE,39.9925,-83.0072
Redevelopment of Waterson Lake Elementary School,Cleveland,OH,50800000,Pre-Construction/Negotiated,,"Multi-Residential, Retail, Industrial",FALSE,FALSE,41.4817,-81.736
Dublin Methodist Hospital Expansion,Dublin,OH,250000000,Design,,Medical,FALSE,FALSE,40.1014,-83.1647
OhioHealth Outpatient Cancer Center,Columbus,OH,226000000,Pre-Construction/Negotiated,,"Medical, Parking Garage",FALSE,FALSE,40.0314,-83.0264
The Civic Building Redevelopment,Columbus,OH,73200000,Pre-Construction/Negotiated,,"Multi-Residential, Office, Retail",FALSE,FALSE,39.959,-83.0023
Main Bar Site Redevelopment,Columbus,OH,70000000,Conceptual,,"Multi-Residential, Parking Garage, Restaurant, Retail",FALSE,FALSE,39.9563,-83.0002
7th Street Multi Residential Apartment Conversion,Cincinnati,OH,67000000,Pre-Construction/Negotiated,,Multi-Residential,FALSE,FALSE,39.104,-84.5126
Vontz Family Education Research and Collections Facility / Queensgate,Cincinnati,OH,45000000,Design,,Museum,FALSE,FALSE,39.1118,-84.5358
Winsupply Distribution Center Expansion,Miamisburg,OH,25000000,Pre-Construction/Negotiated,,Warehouse / Distribution,FALSE,FALSE,39.6183,-84.2364
Akrochem Warehouse and Distribution Center / Tallmadge,Kent,OH,21600000,Under Construction,,Manufacturing,FALSE,FALSE,41.114,-81.382
Union at Cleveland Harbor,Cleveland,OH,69326750,Final Planning,,Multi-Residential,FALSE,FALSE,41.5307,-81.652
Cleveland Metropolitan City Schools Seg 9,Cleveland,OH,96164994,Design,"Jan 16, 2026","Educational, Theaters / Auditoriums",FALSE,FALSE,41.4841,-81.6296
Canal Winchester High School - Renovation and Addition,Canal Winchester,OH,20451000,Under Construction,,Educational,FALSE,FALSE,39.8347,-82.8142
Meijer / Austintown,Austintown,OH,10000000,Under Construction,,"Retail, Educational",FALSE,FALSE,41.1017,-80.7645
Broad Street Commercial Development,Columbus,OH,24400000,Under Construction,,Retail,FALSE,FALSE,39.9844,-82.8369
Norwalk City School District New PK-8,Norwalk,OH,73005036,Design,"Apr 11, 2025",Educational,FALSE,FALSE,41.2248,-82.6119
Wellman Seaver Morgan factory Redevelopment,Cleveland,OH,50000000,Conceptual,,Manufacturing,FALSE,FALSE,41.4952,-81.6401
Shops at Westgate / Toledo,Toledo,OH,30000000,Design,,Retail,FALSE,FALSE,41.6781,-83.6271
Cincinnati Children's Hospital Research Center,Cincinnati,OH,32000000,Pre-Construction/Negotiated,,Laboratories,FALSE,FALSE,39.1343,-84.4955
Barthman Family Homes,Columbus,OH,64296065,Pre-Construction/Negotiated,,Multi-Residential,FALSE,FALSE,39.9243,-82.9974
Spring Street Mixed-Use,Columbus,OH,34000000,Award,,"Multi-Residential, Parking Garage, Retail",FALSE,FALSE,39.9667,-82.9937
Hilliard Commerce Center Upgrades,Hilliard,OH,5000000,Conceptual,,Industrial,FALSE,FALSE,40.0334,-83.1582
