KL Market,KL Submarket,Census Property ID,Property Name,Chain Scale,Chain Class,Brand Name,Company Name,Property Size,SF Meeting Space,Address,City,State,Postal Code,Open Date,Closed Date,Property Status,Latitude,Longitude
"Columbus, OH","Newark - Columbus, OH",147886,Home2 Suites by Hilton New Albany Columbus,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,107,0,5095 Forest Dr,New Albany,OH,43054,,,Active / Open,40.0901,-82.7908
"Cleveland, OH","Cleveland Heights - Cleveland, OH",149447,Holiday Inn Express & Suites Painesville - Concord by IHG,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,84,1200,11200 Gold Ct,Painesville,OH,44077,,,Active / Open,41.661,-81.2387
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",247449,Courtesy Budget Inn,Independent,Economy,Independent,Independent,60,,1361 E Center St,Marion,OH,43302,,,Active / Open,40.5891,-83.0936
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",169482,Magnuson Hotel Wauseon,Midscale,Midscale,Magnuson,Magnuson Companies LLC,36,0,8225 State Road 108,Wauseon,OH,43567,,2022-06-01 00:00:00,Permanently Closed,41.5913,-84.149
"Akron, OH","Twinsburg/Streetsboro - Akron, OH",247710,Geauga Lake Inn,Independent,Upscale,Independent,Independent,145,,800 N Aurora Rd,Aurora,OH,44202,,2100-01-01 00:00:00,Active / Open,41.3397,-81.3657
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",134470,Victorian Tudor Inn,Independent,Upper Upscale,Independent,Independent,5,0,408 W Main St #1334,Bellevue,OH,44811,,,Active / Open,41.2755,-82.8472
"Cincinnati, OH","Cincinnati West - Cincinnati, OH",249710,Marcum Conference Center & Inn,Independent,Upscale,Independent,Independent,92,,Miami University,Oxford,OH,45056,,2100-01-01 00:00:00,Active / Open,39.5087,-84.7345
"Cleveland, OH","Strongsville/Medina - Cleveland, OH",102267,Tallyho-tel Cleveland,Independent,Economy,Independent,Independent,111,,4501 E Royalton Rd,Broadview Heights,OH,44147,,2020-06-01 00:00:00,Permanently Closed,41.3155,-81.655
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",249698,Knights Inn,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,32,,855 Rt 103,Bluffton,OH,45817,,,Active / Open,40.8919,-83.8639
"Toledo, OH","Toledo West - Toledo, OH",103396,Classic Inn,Independent,Economy,Independent,Independent,80,,1821 E Manhattan Blvd,Toledo,OH,43608,,2018-04-02 00:00:00,Permanently Closed,41.6895,-83.5131
"Ohio State Area, OH","Lima - Ohio State Area, OH",249586,Knights Inn,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,62,,2285 N Eastown Rd,Lima,OH,45807,,,Active / Open,40.7702,-84.1661
"Cincinnati, OH","Downtown Cincinnati - Cincinnati, OH",104340,Airport USA Hotel,Independent,Midscale,Independent,Independent,201,5000,2100 Dixie Hwy,Covington,OH,41011,,2018-04-01 00:00:00,Permanently Closed,39.0507,-84.5512
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",146116,The Mount Vernon Inn,Independent,Upscale,Independent,Independent,15,0,601 W High St,Mt Vernon,OH,43050,,,Active / Open,40.3942,-82.4932
"Cleveland, OH","Strongsville/Medina - Cleveland, OH",146829,Comfort Suites,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",84,2220,1464 Town Center Blvd,Brunswick,OH,44212,,,Active / Open,41.2356,-81.8087
"Cleveland, OH","Avon/I90 West - Cleveland, OH",104451,Economy Inn and Suites,Independent,Economy,Independent,Independent,57,,24399 Lorain Rd,North Olmsted,OH,44070,,2100-01-01 00:00:00,Active / Open,41.4267,-81.8924
"Columbus, OH","Worthington/Westerville - Columbus, OH",102438,Lexington Hotel and Suites,Upper Midscale,Upper Midscale,Lexington,Sonesta International Hotels Corp,70,300,1111 Mediterranean Ave,Columbus,OH,43229,,2018-09-01 00:00:00,Permanently Closed,40.0907,-82.989
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",247342,Hotel Lakeside,Independent,Upscale,Independent,Independent,79,,150 Walnut Ave,Lakeside,OH,43440,,,Active / Open,41.5451,-82.7503
"Sandusky, OH","Sandusky, OH",128407,Hotel Kilbourne Downtown Sandusky,Independent,Upscale,Independent,Independent,9,99,223 W Water St,Sandusky,OH,44870,,,Active / Open,41.4569,-82.7136
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",150497,Super 8 by Wyndham Sidney,Economy,Economy,Super 8,Wyndham Hotels & Resorts,40,0,2009 B Michigan St,Sidney,OH,45365,,2023-12-01 00:00:00,Permanently Closed,40.2878,-84.1855
"Ohio State Area, OH","Ohio South - Ohio State Area, OH",100723,Royalton Inn & Suites Wilmington,Midscale,Midscale,Magnuson,Magnuson Companies LLC,59,475,201 Carrie Dr,Wilmington,OH,45177,,,Active / Open,39.4532,-83.8026
"Cleveland, OH","Avon/I90 West - Cleveland, OH",249815,Lorain Studio Suites,Independent,Midscale,Independent,Independent,248,,1825 Lorain Blvd,Elyria,OH,44035,,,Active / Open,41.3939,-82.1152
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",101666,Al Smith's Place,Independent,Upper Upscale,Independent,Independent,26,0,1885 E Mansfield St,Bucyrus,OH,44820,,2020-05-01 00:00:00,Permanently Closed,40.8124,-82.9491
"Cleveland, OH","Avon/I90 West - Cleveland, OH",100400,Oberlin Inn,Independent,Upper Upscale,Independent,Independent,65,6867,7 N Main St,Oberlin,OH,44074,,2021-08-01 00:00:00,Permanently Closed,41.2924,-82.2162
"Columbus, OH","Newark - Columbus, OH",143791,Small Batch Lodging,Independent,Upscale,Independent,Independent,3,99,664 West Broadway,Granville,OH,43023,,,Active / Open,40.0686,-82.5324
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",102062,The Stables Inn and Suites,Independent,Midscale,Independent,Independent,21,6000,544 E Pershing St,Salem,OH,44460,,,Active / Open,40.8999,-80.8528
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",148125,Romer's Westlake Hotel Villas,Independent,Upper Midscale,Independent,Independent,29,0,1100 S Main St,Celina,OH,45822,,,Active / Open,40.5339,-84.5756
"Sandusky, OH","Sandusky, OH",100479,Sandusky Inn,Independent,Upper Midscale,Independent,Independent,26,0,2809 Milan Rd,Sandusky,OH,44870,,,Active / Open,41.432,-82.6879
"Ohio State Area, OH","I70 Corridor - Ohio State Area, OH",162149,Travelodge,Economy,Economy,Travelodge,Wyndham Hotels & Resorts,30,,4645 E Pike,Zanesville,OH,43701,,2024-04-26 00:00:00,Permanently Closed,39.9648,-81.9058
"Dayton, OH","Downtown/DAY Airport - Dayton, OH",249043,Crossroads Motel,Independent,Midscale,Independent,Independent,74,,845 E National Rd,Vandalia,OH,45377,,,Active / Open,39.8934,-84.1838
"Ohio State Area, OH","Lima - Ohio State Area, OH",104987,Guest Inn,Independent,Midscale,Independent,Independent,90,360,1201 Neubrecht Rd,Lima,OH,45801,,2019-07-03 00:00:00,Permanently Closed,40.7562,-84.0801
"Dayton, OH","Downtown/DAY Airport - Dayton, OH",104101,Travelodge - Dayton,Economy,Economy,Travelodge,Wyndham Hotels & Resorts,62,3000,7575 Poe Avenue,Dayton,OH,45414,,2017-10-02 00:00:00,Permanently Closed,39.8571,-84.1878
"Dayton, OH","Downtown/DAY Airport - Dayton, OH",248653,Parkview Inn,Independent,Upper Midscale,Independent,Independent,60,,4503 S Dixie Dr,Moraine,OH,45439,,,Active / Open,39.6876,-84.2218
"Toledo, OH","Toledo West - Toledo, OH",247152,Toledo Budget Inn,Independent,Economy,Independent,Independent,101,,2450 S Reynolds Rd,Toledo,OH,43614,,,Active / Open,41.5957,-83.6655
"Cincinnati, OH","Franklin - Cincinnati, OH",249576,Knights Inn,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,65,,8500 Claude-Thomas Rd,Franklin,OH,45005,,,Active / Open,39.5655,-84.2697
"Cincinnati, OH","Cincinnati North - Cincinnati, OH",249488,HomeTowne Studios by Red Roof,Economy,Economy,HomeTowne Studios by Red Roof,Red Roof Group,130,,11457 Chester Rd,Sharonville,OH,45246,,,Active / Open,39.2815,-84.444
"Cincinnati, OH","CVG Airport - Cincinnati, OH",247365,Airport Inn,Independent,Midscale,Independent,Independent,122,,648 Donaldson Rd,Erlanger,OH,41018,,,Active / Open,39.0625,-84.6599
"Akron, OH","Twinsburg/Streetsboro - Akron, OH",170087,The Inn at Solaire,Independent,Upper Upscale,Independent,Independent,4,99,111 1st Street,Hudson,OH,44236,,,Active / Open,41.2418,-81.4418
"Cleveland, OH","Downtown Cleveland - Cleveland, OH",132922,Stone Gables Bed and Breakfast,Independent,Upper Midscale,Independent,Independent,5,0,3806 Franklin Boulevard,Cleveland,OH,44113,,,Active / Open,41.4863,-81.7143
"Ohio State Area, OH","Findlay - Ohio State Area, OH",144835,Holiday Inn Express & Suites Findlay North by IHG,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,112,144,1920 Express Wy,Findlay,OH,45840,,,Active / Open,41.0632,-83.6704
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",101372,Atwood Lake Resort,Independent,Upper Upscale,Independent,Independent,104,2500,2650 Lodge Rd,Dellroy,OH,44675,,,Active / Open,40.5465,-81.2407
"Ohio State Area, OH","Ohio South - Ohio State Area, OH",102563,William Ann Motel,Independent,Midscale,Independent,Independent,56,,918 2nd Ave,Gallipolis,OH,45631,,2100-01-01 00:00:00,Active / Open,38.8156,-82.1948
"Cincinnati, OH","Cincinnati West - Cincinnati, OH",133410,Six Acres Bed and Breakfast,Independent,Upper Midscale,Independent,Independent,10,0,5350 Hamilton Avenue,Cincinnati,OH,45224,,,Active / Open,39.1875,-84.5452
"Cleveland, OH","Strongsville/Medina - Cleveland, OH",104909,Howard Johnson Express Inn - Brunswick,Economy,Economy,Howard Johnson,Wyndham Hotels & Resorts,25,0,1385 S Carpenter Rd,Brunswick,OH,44212,,,Active / Open,41.2365,-81.8009
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",133876,Bellevue Hotel & Suites,Independent,Upscale,Independent,Independent,75,0,1122 E Main St,Bellevue,OH,44811,,2100-01-01 00:00:00,Active / Open,41.2721,-82.8247
"Youngstown, OH","Youngstown, OH",146969,Hotel California,Independent,Midscale,Independent,Independent,102,,1051 N Canfield Niles Rd,Austintown,OH,44515,,2100-01-01 00:00:00,Active / Open,41.1253,-80.7668
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",134988,Rocking Horse Inn,Independent,Upper Midscale,Independent,Independent,11,99,248 W Riddle Ave,Ravenna,OH,44266,,,Active / Open,41.1555,-81.2456
"Youngstown, OH","Youngstown, OH",135490,Julia's Bed & Breakfast,Independent,Upper Midscale,Independent,Independent,6,99,6219 W Liberty St,Hubbard,OH,44425,,,Active / Open,41.1567,-80.5941
"Cleveland, OH","Cleveland Southeast - Cleveland, OH",101585,Red Rock Inn,Independent,Economy,Independent,Independent,168,4500,24801 Rockside Rd,Bedford,OH,44146,,2020-05-01 00:00:00,Permanently Closed,41.4095,-81.5052
"Cincinnati, OH","Cincinnati West - Cincinnati, OH",104595,Red Carpet Inn,Independent,Economy,Independent,Independent,50,0,8590 Colerain Ave,Cincinnati,OH,45251,,2100-01-01 00:00:00,Active / Open,39.2269,-84.5885
"Dayton, OH","Tipp City/Troy - Dayton, OH",248824,Royal Inn,Independent,Midscale,Independent,Independent,81,,1210 Brukner,Troy,OH,45373,,,Active / Open,40.0246,-84.2281
"Columbus, OH","Worthington/Westerville - Columbus, OH",100822,Northsuites Columbus,Independent,Economy,Independent,Independent,50,500,1001 Schrock Rd,Columbus,OH,43229,,2020-04-01 00:00:00,Permanently Closed,40.1023,-82.9898
"Cleveland, OH","Cleveland Heights - Cleveland, OH",150471,Steele Mansion Inn & Gathering Hub,Independent,Upper Upscale,Independent,Independent,16,0,348 Mentor Ave,Painesville,OH,44077,,,Active / Open,41.7199,-81.2524
"Akron, OH","Akron West - Akron, OH",171313,Hotel Wadsworth OH I-76,Economy,Economy,OYO,Oravel Stays,10,0,810 High St,Akron,OH,44281,,2100-01-01 00:00:00,Active / Open,41.0458,-81.7316
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",132493,Island Club Rentals,Independent,Upper Upscale,Independent,Independent,40,99,1490 Put In Bay Rd,Put-in-bay,OH,43456,,2100-01-01 00:00:00,Active / Open,41.6341,-82.8375
"Dayton, OH","Springfield - Dayton, OH",103299,Knights Inn,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,39,,2207 W Main St,Springfield,OH,45504,,,Active / Open,39.9257,-83.8458
"Ohio State Area, OH","Ohio South - Ohio State Area, OH",131966,Brown's Motel,Independent,Upper Upscale,Independent,Independent,49,0,1055 Us Highway 52,Aberdeen,OH,45101,,,Active / Open,38.6586,-83.7662
"Dayton, OH","Dayton South/Miamisburg - Dayton, OH",144391,Hampton Inn & Suites Xenia Dayton,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,88,676,194 Progress Dr,Xenia,OH,45385,,,Active / Open,39.6865,-83.9652
"Cincinnati, OH","CVG Airport - Cincinnati, OH",150448,Tru by Hilton Cincinnati Airport South Florence,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,97,0,1080 Vandercar Way,Florence,OH,41042,,,Active / Open,39.012,-84.6539
"Ohio State Area, OH","Ohio South - Ohio State Area, OH",100721,Beverly Hills Inn LA,Independent,Economy,Independent,Independent,97,0,1830 US Hwy 52,Aberdeen,OH,45101,,,Active / Open,38.6909,-83.7407
"Cleveland, OH","Cleveland Southeast - Cleveland, OH",143516,Inn of Chagrin,Independent,Upper Upscale,Independent,Independent,15,150,87 West St,Chagrin Falls,OH,44022,,,Active / Open,41.4317,-81.3936
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",247868,Roscoe Village Inn,Independent,Upper Midscale,Independent,Independent,50,,200 Whitewoman St,Coshocton,OH,43812,,2100-01-01 00:00:00,Active / Open,40.2769,-81.8769
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",184212,Salt Fork Lodge and Conference Center,Independent,Upper Upscale,Independent,Independent,201,5149,11073 Natural Resources 3 Road,Kimbolton,OH,43749,,,Active / Open,40.1059,-81.529
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",131982,Put-in-Bay Victory Station,Independent,Upper Upscale,Independent,Independent,12,99,489 Catawba Ave,Put-in-bay,OH,43456,,,Active / Open,41.6515,-82.8203
"Youngstown, OH","Youngstown, OH",159961,Best Western Meander Inn,Midscale,Midscale,Best Western,Best Western Hotels & Resorts,57,-1,870 N Canfield Niles Road,Austintown,OH,44515,,2017-06-13 00:00:00,Permanently Closed,41.1216,-80.7682
"Dayton, OH","Downtown/DAY Airport - Dayton, OH",103518,Brookville Inn,Independent,Economy,Independent,Independent,61,,100 N Parkview Dr,Brookville,OH,45309,,2100-01-01 00:00:00,Active / Open,39.8448,-84.4263
"Akron, OH","Akron West - Akron, OH",103766,Best Value Inn Cleveland Medina,Independent,Economy,Independent,Independent,70,0,5200 Montville Dr,Medina,OH,44256,,2020-05-03 00:00:00,Permanently Closed,41.1341,-81.7928
"Dayton, OH","Downtown/DAY Airport - Dayton, OH",103532,Travelers Motel North,Independent,Midscale,Independent,Independent,38,0,2833 N Dixie Dr,Dayton,OH,45414,,2100-01-01 00:00:00,Active / Open,39.7906,-84.1903
"Ohio State Area, OH","Ohio South - Ohio State Area, OH",105642,Regency Inn,Independent,Upscale,Independent,Independent,46,0,151 Upper River Rd,Gallipolis,OH,45631,,2100-01-01 00:00:00,Active / Open,38.829,-82.163
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",129326,Landoll's Mohican Castle - Luxury Hotel in Central Ohio,Independent,Upscale,Independent,Independent,17,99,561 Township Road 3352,Loudonville,OH,44842,,,Active / Open,40.571,-82.234
"Cincinnati, OH","Cincinnati North - Cincinnati, OH",106076,Atrium Hotel,Independent,Midscale,Independent,Independent,152,,30 Tri-County Pkwy,Cincinnati,OH,45246,,2018-04-02 00:00:00,Permanently Closed,39.2843,-84.4691
"Columbus, OH","Newark - Columbus, OH",148518,Knights Inn Heath Newark,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,108,-1,733 Hebron Road,Heath,OH,43056,,2018-11-02 00:00:00,Permanently Closed,40.0322,-82.437
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",249658,Knights Inn,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,44,,5898 Rt 95,Mount Gilead,OH,43338,,,Active / Open,40.5012,-82.728
"Columbus, OH","Worthington/Westerville - Columbus, OH",106014,Columbus Inn and Suites,Independent,Upper Midscale,Independent,Independent,90,200,6121 Zumstein Dr,Columbus,OH,43229,,2100-01-01 00:00:00,Active / Open,40.0891,-82.9885
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",134546,Bay Lodging Hotel,Independent,Upper Upscale,Independent,Independent,49,99,405 Lakeview Ave,Put-In-Bay,OH,43456,,,Active / Open,41.6516,-82.8241
"Ohio State Area, OH","Lima - Ohio State Area, OH",249587,America's Best Value,Economy,Economy,Americas Best Value Inn,Sonesta International Hotels Corp,100,,3600 E Bluelick Rd,Lima,OH,45801,,,Active / Open,40.7881,-84.0388
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",169386,The Island House Hotel,Independent,Midscale,Independent,Independent,39,99,102 N Madison St,Port Clinton,OH,43452,,,Active / Open,41.5131,-82.9414
"Columbus, OH","CMH Airport - Columbus, OH",184867,Comfort Suites,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",88,0,2673 and 2693 Johnstown Rd,Columbus,OH,43219,,2018-09-03 00:00:00,Permanently Closed,39.9996,-82.9235
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",104918,Curtis Inn,Independent,Economy,Independent,Independent,73,0,6 Public Sq,Mount Vernon,OH,43050,,2016-01-01 00:00:00,Permanently Closed,40.3706,-82.4958
"Columbus, OH","Downtown Columbus - Columbus, OH",249371,Economy Inn,Independent,Midscale,Independent,Independent,71,,665 W Broad St,Columbus,OH,43215,,,Active / Open,39.9598,-83.0183
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",143648,Lodging On the Square,Independent,Upper Midscale,Independent,Independent,23,0,4877 W Main St,Berlin,OH,44610,,,Active / Open,40.562,-81.7976
"Cleveland, OH","Downtown Cleveland - Cleveland, OH",169385,Bridgestreet at the Bingham,Independent,Upper Midscale,Independent,Independent,15,99,1278 W 9th St,Cleveland,OH,44113,,,Active / Open,41.4993,-81.701
"Toledo, OH","Toledo East - Toledo, OH",194810,"Motel 6 Rossford, OH",Economy,Economy,Motel 6,G6 Hospitality LLC,45,0,1135 Buck Rd,Rossford,OH,43460,,,Active / Open,41.5863,-83.5663
"Cincinnati, OH","Cincinnati West - Cincinnati, OH",103506,Marcum Inn,Independent,Midscale,Independent,Independent,52,,100 N Patterson Ave,Oxford,OH,45056,,2100-01-01 00:00:00,Active / Open,39.5134,-84.731
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",156479,Hillside Villa Ohio,Independent,Upscale,Independent,Independent,7,0,5676 Township Rd 362,Millersburg,OH,44654,,,Active / Open,40.566,-81.797
"Dayton, OH","Downtown/DAY Airport - Dayton, OH",134448,Inn Port Lodging,Independent,Upscale,Independent,Independent,5,0,22 Brown St,Dayton,OH,45402,,,Active / Open,39.7567,-84.1855
"Sandusky, OH","Sandusky, OH",100402,Magnuson Hotel East Sandusky,Midscale,Midscale,Magnuson,Magnuson Companies LLC,104,,1530 Cleveland Rd,Sandusky,OH,44870,,2022-09-03 00:00:00,Permanently Closed,41.4423,-82.689
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",106112,WESTERN INN SUITES,Independent,Economy,Independent,Independent,50,0,413 Apollo Dr,Wapakoneta,OH,45895,,2018-04-02 00:00:00,Permanently Closed,40.5646,-84.1736
"Ohio State Area, OH","Ohio South - Ohio State Area, OH",249787,Hocking Hills Lodge & Conference Center,Independent,Upper Upscale,Independent,Independent,121,,20020 Rt 664 S,Logan,OH,43138,,,Active / Open,39.4333,-82.5492
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",249676,Napolean Inn & Suites,Independent,Economy,Independent,Independent,81,,2395 N Scott St,Napoleon,OH,43545,,,Active / Open,41.41,-84.1329
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",192608,Economy Inn & Suites,Independent,Midscale,Independent,Independent,22,0,2329 N Ridge Rd E,Ashtabula,OH,44004,,,Active / Open,41.8763,-80.765
"Cincinnati, OH","Downtown Cincinnati - Cincinnati, OH",248042,Airport USA Hotel,Independent,Upper Midscale,Independent,Independent,214,,2100 Dixie Hwy,Fort Mitchell,OH,41011,,,Active / Open,39.0525,-84.5523
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",147589,Plaza Motel Clyde,Independent,Midscale,Independent,Independent,12,0,500 E McPherson Hwy,Clyde,OH,43410,,2022-09-01 00:00:00,Permanently Closed,41.308,-82.9692
"Ohio State Area, OH","Ohio South - Ohio State Area, OH",170345,Country Hearth Inn,Economy,Economy,Country Hearth Inn,Sonesta International Hotels Corp,40,,810 Victoria St,Washington Court House,OH,43160,,,Active / Open,39.5521,-83.4227
"Columbus, OH","Newark - Columbus, OH",150470,The Welsh Hills Inn,Independent,Luxury,Independent,Independent,5,0,2133 Cambria Mill Rd,Granville,OH,43023,,,Active / Open,40.1092,-82.4994
"Cincinnati, OH","Downtown Cincinnati - Cincinnati, OH",248238,Hannaford Suites Hotel,Independent,Upscale,Independent,Independent,79,,803 E 6th St,Newport,OH,41071,,,Active / Open,39.0961,-84.4861
"Columbus, OH","Columbus South - Columbus, OH",105931,Fort Rapids Indoor Water Park,Independent,Midscale,Independent,Independent,338,,4560 Hilton Corporate Dr,Columbus,OH,43232,,2018-04-02 00:00:00,Permanently Closed,39.9358,-82.8745
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",131469,Chapman House,Independent,Upper Upscale,Independent,Independent,4,99,50 Chapman Road,Put-in-bay,OH,43456,,,Active / Open,41.657,-82.8094
"Dayton, OH","Downtown/DAY Airport - Dayton, OH",185906,SpringHill Suites by Marriott Dayton North,Upscale,Upscale,SpringHill Suites,Marriott International,91,0,3591 York Plaza Lane,Murlin Heights,OH,45414,,2017-10-22 00:00:00,Permanently Closed,39.8446,-84.1944
"Cincinnati, OH","Cincinnati North - Cincinnati, OH",147218,Residence Inn by Marriott Cincinnati Northeast/Mason,Upscale,Upscale,Residence Inn,Marriott International,106,606,2511 Kings Center Ct,Mason,OH,45040,,,Active / Open,39.3557,-84.2623
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",149132,Spread Eagle Tavern & Inn,Independent,Upscale,Independent,Independent,5,0,10150 Plymouth St,Hanoverton,OH,44423,,,Active / Open,40.7537,-80.9348
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",100621,Beach Cliff Lodge Motel,Independent,Upper Upscale,Independent,Independent,25,0,4189 NW Catawba Rd,Port Clinton,OH,43452,,2020-05-01 00:00:00,Permanently Closed,41.5827,-82.8399
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",146172,zincks inn,Independent,Midscale,Independent,Independent,46,0,4703 OH-39,Berlin,OH,44610,,,Active / Open,40.56,-81.7909
"Cincinnati, OH","Cincinnati North - Cincinnati, OH",147407,Drury Inn & Suites Cincinnati Northeast Mason,Upscale,Upscale,Drury Inn & Suites,Drury Inns,187,1090,9956 Escort Dr,Mason,OH,45040,,,Active / Open,39.2936,-84.3178
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",193049,Rainbow Motel Montpelier,Midscale,Midscale,Magnuson,Magnuson Companies LLC,19,0,13402 OH-15,Montpelier,OH,43543,,,Temporarily Closed,41.6075,-84.555
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",145022,Comfort Suites,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",80,0,965 Dover Rd,Wooster,OH,44691,,,Active / Open,40.7741,-81.9275
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",145281,The Lodge at Geneva-on-the-Lake,Independent,Upper Upscale,Independent,Independent,109,8500,4888 N Broadway,Geneva,OH,44041,,,Active / Open,41.8577,-80.9656
"Cleveland, OH","Downtown Cleveland - Cleveland, OH",101810,Town House Motel,Independent,Economy,Independent,Independent,50,0,15661 Euclid Ave,Cleveland,OH,44112,,2100-01-01 00:00:00,Active / Open,41.5407,-81.5712
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",145173,Sleep Inn & Suites Mt. Hope near Auction & Event Center,Midscale,Midscale,Sleep Inn,"Choice Hotels International, Inc.",62,300,8050 OH-241,Millersburg,OH,44654,,,Active / Open,40.6238,-81.7887
"Ohio State Area, OH","Ohio North - Ohio State Area, OH",132917,The Pines Of Dresden Bed And Breakfast,Independent,Upper Midscale,Independent,Independent,5,99,42 W Dave Longaberger Ave,Dresden,OH,43821,,,Active / Open,40.1243,-82.017
"Cincinnati, OH","Cincinnati North - Cincinnati, OH",150449,Tru by Hilton Mason Kings Island,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,100,0,2720 Water Park Dr,Mason,OH,45040,,,Active / Open,39.3597,-84.2656
