Market,Submarket,Tier,Chain Class,Chain Scale,Brand,Company,Property,Rooms,Lat,Lng
"Columbus, OH",Worthington/Westerville,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Columbus Dublin,83,40.1103,-83.0873
"Youngstown, OH",,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Youngstown Canfield,110,41.0197,-80.726
"Akron, OH",Akron,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites Hartville-North Canton,81,40.9709,-81.3581
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,Homewood Suites by Hilton Cincinnati-Downtown,105,39.103,-84.5136
"Cincinnati, OH",Downtown Cincinnati,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Cincinnati-Downtown,144,39.103,-84.5136
"Akron, OH",Canton,Upper Tier,Upscale,Upscale,Hyatt Place,Hyatt Hotels Corporation,Hyatt Place Canton,105,40.8605,-81.4233
"Akron, OH",Akron West,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Copley Akron,64,41.1312,-81.6543
"Akron, OH",Canton,Upper Tier,Upscale,Upscale,Staybridge Suites,IHG Hotels & Resorts,Staybridge Suites Canton by IHG,93,40.8601,-81.4192
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Inn & Suites Caldwell,76,39.7406,-81.5348
"Youngstown, OH",,Mid Tier,Upper Midscale,Upper Midscale,Best Western Plus,Best Western Hotels & Resorts,Best Western Plus Boardman Inn & Suites,67,41.0206,-80.6307
"Columbus, OH",Columbus South,Mid Tier,Midscale,Midscale,Candlewood Suites,IHG Hotels & Resorts,Candlewood Suites Columbus - Grove City by IHG,73,39.8804,-83.0452
"Ohio State Area, OH",Ohio South,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites Caldwell I-77,80,39.7395,-81.5264
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,Candlewood Suites,IHG Hotels & Resorts,Candlewood Suites Carrollton by IHG,100,40.5923,-81.0924
"Columbus, OH",Columbus South,Lower Tier,Economy,Economy,WoodSpring Suites,"Choice Hotels International, Inc.",WoodSpring Suites Columbus Urbancrest,119,39.9051,-83.0768
"Columbus, OH",Downtown Columbus,Upper Tier,Upper Upscale,Upper Upscale,Le Meridien,Marriott International,"Le Méridien Columbus, The Joseph",135,39.9752,-83.0027
"Ohio State Area, OH",Findlay,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Findlay,101,41.0646,-83.6703
"Cleveland, OH",Avon/I90 West,Upper Tier,Upscale,Upscale,Wyndham,Wyndham Hotels & Resorts,Wyndham Avon,113,41.4587,-82.0114
"Dayton, OH",Springfield,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Springfield - Dayton Area by IHG,83,39.8943,-83.8166
"Akron, OH",Akron West,Upper Tier,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,"Homewood Suites by Hilton Akron Fairlawn, OH",105,41.1412,-81.6455
"Akron, OH",Canton,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Canton South,99,40.7522,-81.4041
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,"Holiday Inn Express & Suites Ironton, an IHG Hotel",79,38.5362,-82.6767
"Akron, OH",Akron,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Akron,139,41.065,-81.4799
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Sidney by IHG,80,40.2911,-84.1841
"Ohio State Area, OH",I70 Corridor,Mid Tier,Midscale,Midscale,Sleep Inn,"Choice Hotels International, Inc.",Sleep Inn & Suites Belmont / St. Clairsville,63,40.0581,-81.0543
"Cleveland, OH",Avon/I90 West,Lower Tier,Economy,Economy,Extended Stay America Select Suites,Extended Stay America,Extended Stay America Select Suites,120,41.4253,-81.8489
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,WoodSpring Suites,"Choice Hotels International, Inc.",WoodSpring Suites Columbus North I-270,124,40.1127,-83.0065
"Dayton, OH",Dayton South/Miamisburg,Lower Tier,Economy,Economy,Extended Stay America Select Suites,Extended Stay America,Extended Stay America Select Suites,124,39.6449,-84.2305
"Cleveland, OH",Downtown Cleveland,Upper Tier,Upper Upscale,Upper Upscale,Autograph Collection,Marriott International,"Metropolitan at The 9, Autograph Collection",156,41.4998,-81.6861
"Youngstown, OH",,Mid Tier,Midscale,Midscale,Candlewood Suites,IHG Hotels & Resorts,Candlewood Suites Youngstown West - Austintown by IHG,77,41.1269,-80.7709
"Columbus, OH",Worthington/Westerville,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Columbus Polaris,104,40.1465,-82.976
"Columbus, OH",Downtown Columbus,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Columbus/University Area,152,40.0254,-83.0248
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Cincinnati/West Chester,125,39.3209,-84.429
"Sandusky, OH",,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Sandusky/Milan,70,41.3262,-82.618
"Toledo, OH",Toledo West,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Toledo/Westgate,111,41.683,-83.6203
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,"Homewood Suites by Hilton Cincinnati Mason, OH",115,39.3006,-84.3202
"Columbus, OH",CMH Airport,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Columbus Airport,121,39.9989,-82.8904
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Microtel Inn & Suites by Wyndham,Wyndham Hotels & Resorts,Microtel Inn & Suites by Wyndham Carrollton,80,40.5862,-81.0915
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upper Upscale,Upper Upscale,Renaissance,Marriott International,Renaissance Cincinnati Downtown Hotel,323,39.1003,-84.5113
