Market,Submarket,Tier,Chain Class,Chain Scale,Brand,Company,Property,Rooms,Lat,Lng
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Newcomerstown,62,40.2868,-81.5626
"Dayton, OH",Dayton South/Miamisburg,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites Miamisburg - Dayton South,56,39.6367,-84.2267
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Fairfield by IHG,80,39.3183,-84.493
"Cleveland, OH",Avon/I90 West,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Cleveland - Brooklyn,104,41.4248,-81.7576
"Cleveland, OH",Avon/I90 West,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Cleveland Airport,168,41.4248,-81.8466
"Cleveland, OH",Downtown Cleveland,Upper Tier,Luxury,Luxury,InterContinental,IHG Hotels & Resorts,InterContinental Suites Hotel Cleveland by IHG,162,41.5031,-81.6249
"Ohio State Area, OH",Lima,Mid Tier,Midscale,Midscale,Wingate by Wyndham,Wyndham Hotels & Resorts,Wingate by Wyndham Lima Downtown,100,40.7395,-84.1064
"Cleveland, OH",Downtown Cleveland,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Cleveland Downtown by IHG,141,41.5004,-81.6888
"Columbus, OH",Columbus West,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites Columbus West - Hilliard,51,40.0015,-83.1226
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cincinnati Covington,194,39.0881,-84.5196
"Columbus, OH",CMH Airport,Upper Tier,Upscale,Upscale,SpringHill Suites,Marriott International,SpringHill Suites by Marriott Columbus Airport Gahanna,80,40.003,-82.8593
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Sidney,94,40.2674,-84.1861
"Columbus, OH",CMH Airport,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Columbus Airport Gahanna,93,40.0028,-82.8583
"Cleveland, OH",Strongsville/Medina,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cleveland Airport South,154,41.3674,-81.8241
"Columbus, OH",Columbus West,Mid Tier,Midscale,Midscale,Hawthorn Suites by Wyndham,Wyndham Hotels & Resorts,Hawthorn Extended Stay by Wyndham Columbus West,80,39.9806,-83.1523
"Columbus, OH",Newark,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Inn & Suites Heath - Newark South,63,40.0312,-82.4393
"Cincinnati, OH",Cincinnati West,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Harrison by IHG,62,39.2588,-84.8002
"Cincinnati, OH",CVG Airport,Upper Tier,Upper Upscale,Upper Upscale,Marriott,Marriott International,Marriott Cincinnati Airport,302,39.0758,-84.6562
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upper Upscale,Upper Upscale,Graduate Hotel,Hilton Worldwide,Graduate by Hilton Cincinnati,206,39.1367,-84.5075
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Country Inn & Suites by Choice,"Choice Hotels International, Inc.","Country Inn & Suites by Radisson, Marion, OH",63,40.579,-83.074
"Cincinnati, OH",Cincinnati East,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Cincinnati-Eastgate,120,39.0987,-84.2671
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Ashtabula-Geneva by IHG,77,41.7907,-80.8539
"Dayton, OH",Dayton South/Miamisburg,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Dayton South,80,39.6291,-84.1975
"Akron, OH",Twinsburg/Streetsboro,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Cleveland-Southeast/Streetsboro,90,41.2491,-81.3653
"Columbus, OH",Columbus South,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites Columbus,65,39.93,-82.8326
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Cincinnati-Northwest/Fairfield,100,39.3062,-84.5197
"Cleveland, OH",Cleveland Heights,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cleveland Willoughby,90,41.6063,-81.4368
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,Sleep Inn,"Choice Hotels International, Inc.",Sleep Inn & Suites Port Clinton,71,41.5088,-82.8588
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Independent,Independent,Independent,"Bluffton Inn & Suites Bluffton, OH 45817",65,40.8949,-83.8722
"Cleveland, OH",Cleveland Southeast,Mid Tier,Midscale,Midscale,Candlewood Suites,IHG Hotels & Resorts,Beachwood Extended Suites,140,41.4607,-81.4876
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Independent,Independent,Independent,Countryside Inn and Suites,51,39.0446,-83.9188
"Akron, OH",Twinsburg/Streetsboro,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Cleveland-Streetsboro by IHG,68,41.2427,-81.3552
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Independent,Independent,Independent,Birch Hill Suites Cincinnati Blue Ash Extended Stay Hotel,94,39.2706,-84.3775
"Sandusky, OH",,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Sandusky-Central,50,41.3966,-82.6515
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Washington Court House,40,39.5523,-83.4233
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Athens,54,39.3337,-82.0332
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Baymont,Wyndham Hotels & Resorts,Baymont by Wyndham Mason,70,39.3584,-84.266
"Cleveland, OH",Strongsville/Medina,Mid Tier,Midscale,Midscale,MainStay Suites,"Choice Hotels International, Inc.",MainStay Suites Middleburg Heights Cleveland Airport,94,41.3673,-81.8231
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Country Hearth Inn,Sonesta International Hotels Corp,Country Hearth Inn & Suites Willard,40,41.0404,-82.7144
"Columbus, OH",CMH Airport,Mid Tier,Midscale,Midscale,Sonesta Simply Suites,Sonesta International Hotels Corp,Sonesta Simply Suites Columbus Airport Gahanna,122,40.0046,-82.8605
"Columbus, OH",Columbus West,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites Columbus West- Hilliard,71,39.9798,-83.1524
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upper Upscale,Upper Upscale,Marriott,Marriott International,Cincinnati Marriott at RiverCenter,321,39.0898,-84.5121
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Marysville,78,40.2431,-83.3448
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,Microtel Inn & Suites by Wyndham,Wyndham Hotels & Resorts,Microtel Inn & Suites by Wyndham Sunbury/Columbus I-71N,60,40.2682,-82.9297
"Dayton, OH",Springfield,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Springfield,100,39.8946,-83.8142
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Lancaster,78,39.7342,-82.6244
"Akron, OH",Twinsburg/Streetsboro,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Inn & Suites Streetsboro - Kent,60,41.2407,-81.3537
"Dayton, OH",Dayton Northeast/Fairborn,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Dayton-Huber Heights by IHG,65,39.8667,-84.1349
"Akron, OH",Twinsburg/Streetsboro,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Cleveland/Twinsburg,142,41.3139,-81.4555
"Columbus, OH",Columbus West,Mid Tier,Upper Midscale,Upper Midscale,Country Inn & Suites by Choice,"Choice Hotels International, Inc.","Country Inn & Suites by Radisson, Columbus West, OH",52,39.9759,-83.1534
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Seville,52,41.0308,-81.9097
"Cleveland, OH",Avon/I90 West,Mid Tier,Midscale,Midscale,Sonesta Simply Suites,Sonesta International Hotels Corp,Sonesta Simply Suites Cleveland North Olmsted Airport,125,41.4156,-81.8956
"Ohio State Area, OH",Findlay,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Findlay,85,41.0541,-83.5942
"Columbus, OH",CMH Airport,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Columbus - Easton,104,40.0599,-82.9089
"Cleveland, OH",Cleveland Southeast,Upper Tier,Upper Upscale,Independent,Independent,Independent,Red Maple Inn,18,41.4647,-81.1443
"Akron, OH",Canton,Lower Tier,Economy,Economy,Microtel Inn & Suites by Wyndham,Wyndham Hotels & Resorts,Microtel Inn & Suites by Wyndham North Canton,60,40.8833,-81.4324
"Columbus, OH",Downtown Columbus,Lower Tier,Economy,Economy,Red Roof Plus+,Red Roof Group,Red Roof PLUS+ Columbus Downtown - Convention Center,149,39.9686,-82.9984
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Hawthorn Suites by Wyndham,Wyndham Hotels & Resorts,Hawthorn Extended Stay by Wyndham Cincinnati NE/Mason,94,39.3008,-84.3031
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Independent,Independent,Independent,"Kings Inn & Suites, Cincinnati-Mason",102,39.3016,-84.3036
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Candlewood Suites,IHG Hotels & Resorts,Candlewood Suites Cincinnati Northeast,127,39.3014,-84.3157
"Ohio State Area, OH",Findlay,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Findlay - Tiffin Avenue,68,41.0546,-83.5965
"Youngstown, OH",,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield Inn Warren Niles,64,41.2182,-80.7425
"Columbus, OH",Newark,Mid Tier,Midscale,Midscale,Best Western,Best Western Hotels & Resorts,Best Western Lakewood Inn,70,39.9601,-82.4782
"Dayton, OH",Dayton South/Miamisburg,Upper Tier,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,Homewood Suites by Hilton South Dayton Miamisburg,96,39.6334,-84.2282
"Cleveland, OH",Avon/I90 West,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cleveland Westlake,122,41.4755,-81.8978
"Columbus, OH",Worthington/Westerville,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Columbus - Polaris,124,40.1397,-82.9767
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,Extended Stay America Select Suites,Extended Stay America,Extended Stay America Select Suites- Columbus - Worthington,97,40.1152,-83.0128
"Toledo, OH",Toledo West,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,"Super 8 Maumee/Toledo, OH",68,41.5794,-83.6848
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Cincinnati - Blue Ash - Kenwood Road,133,39.2688,-84.3742
"Dayton, OH",Downtown/DAY Airport,Lower Tier,Economy,Economy,Microtel Inn & Suites by Wyndham,Wyndham Hotels & Resorts,Microtel Inn & Suites by Wyndham Dayton/Riverside OH,53,39.7427,-84.1146
"Cincinnati, OH",Cincinnati West,Lower Tier,Economy,Economy,InTown Suites,InTown Suites,InTown Suites Extended Stay Cincinnati OH - Colerain,134,39.2141,-84.586
"Cincinnati, OH",CVG Airport,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Walton, KY - Richwood - Cincinnati Airport South",56,38.9193,-84.627
"Cleveland, OH",Avon/I90 West,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Cleveland Westlake,85,41.4761,-81.8978
"Cleveland, OH",Strongsville/Medina,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Cleveland Airport - Brook Park by IHG,89,41.4041,-81.8123
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Lisbon,69,40.7661,-80.7296
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Bellefontaine,42,40.3769,-83.7575
"Youngstown, OH",,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites North Lima - Boardman,76,40.9744,-80.6623
"Akron, OH",Akron,Lower Tier,Economy,Economy,Super 8,Wyndham Hotels & Resorts,Super 8 by Wyndham Akron S/Green/Uniontown OH,56,40.9632,-81.4673
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Inn,"Choice Hotels International, Inc.",Comfort Inn & Suites Napoleon,56,41.4115,-84.134
"Dayton, OH",Tipp City/Troy,Mid Tier,Midscale,Midscale,Baymont,Wyndham Hotels & Resorts,Baymont by Wyndham Piqua,70,40.1515,-84.2262
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Inn,"Choice Hotels International, Inc.",Comfort Inn Blue Ash North,80,39.2604,-84.3795
"Columbus, OH",Worthington/Westerville,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Sunbury-Columbus Area by IHG,61,40.2683,-82.9311
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Independent,Independent,Independent,OurGuest Inn & Suites Downtown Port Clinton,60,41.5129,-82.938
"Columbus, OH",Columbus South,Mid Tier,Upper Midscale,Upper Midscale,La Quinta Inns & Suites,Wyndham Hotels & Resorts,La Quinta Inn & Suites by Wyndham Columbus - Grove City,84,39.8812,-83.0453
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Independent,Independent,Independent,Coshocton Village Inn & Suites,64,40.2744,-81.871
"Dayton, OH",Tipp City/Troy,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Dayton Troy,96,40.0512,-84.2358
"Columbus, OH",Columbus West,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Columbus - Tuttle,83,40.0752,-83.1444
"Cleveland, OH",Strongsville/Medina,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Cleveland-Airport/Middleburg Heights,97,41.3752,-81.8261
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites Cincinnati I-275,81,39.2958,-84.5257
"Youngstown, OH",,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Austintown,109,41.1248,-80.7658
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,Baymont,Wyndham Hotels & Resorts,Baymont by Wyndham Marion OH,60,40.5808,-83.0731
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn by Hilton Washington Court House,60,39.6166,-83.6068
"Cleveland, OH",Downtown Cleveland,Upper Tier,Upper Upscale,Upper Upscale,Hotel Indigo,IHG Hotels & Resorts,Hotel Indigo Cleveland Downtown by IHG,142,41.4982,-81.6877
"Ohio State Area, OH",I70 Corridor,Mid Tier,Midscale,Midscale,Best Western,Best Western Hotels & Resorts,Best Western B. R. Guest,75,39.9658,-81.8997
"Cleveland, OH",Downtown Cleveland,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Cleveland-Downtown,194,41.5025,-81.6891
"Cleveland, OH",Strongsville/Medina,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cleveland Independence,154,41.4032,-81.6533
"Columbus, OH",Columbus West,Upper Tier,Upper Upscale,Upper Upscale,Marriott,Marriott International,Marriott Columbus Northwest,310,40.0792,-83.1325
"Akron, OH",Twinsburg/Streetsboro,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Cleveland Streetsboro,81,41.2507,-81.366
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Mt. Vernon by IHG,70,40.4015,-82.4383
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Inn & Suites Sharonville - Cincinnati North,73,39.2734,-84.4373
"Youngstown, OH",,Mid Tier,Midscale,Midscale,Sleep Inn,"Choice Hotels International, Inc.","Sleep Inn Austintown - Youngstown, West",57,41.1196,-80.7694
"Akron, OH",Akron,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Kent/Akron Area,76,41.1092,-81.3468
"Sandusky, OH",,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Milan, OH - Sandusky",63,41.3292,-82.6208
"Columbus, OH",Columbus South,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Columbus South - Obetz by IHG,73,39.8693,-82.9336
"Columbus, OH",Columbus South,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn Grove City - Columbus South,67,39.8792,-83.0451
"Dayton, OH",Tipp City/Troy,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Inn & Suites Tipp City Dayton North I-75,56,39.9627,-84.1917
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Economy,Microtel Inn & Suites by Wyndham,Wyndham Hotels & Resorts,Microtel Inn & Suites by Wyndham Mason/Kings Island,52,39.3596,-84.2665
"Columbus, OH",Columbus South,Mid Tier,Midscale,Midscale,Best Western,Best Western Hotels & Resorts,Best Western Canal Winchester Inn - Columbus South East,59,39.8523,-82.8305
"Akron, OH",Akron,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Inn & Suites Cuyahoga Falls - Akron,79,41.123,-81.4844
"Toledo, OH",Toledo West,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Toledo Maumee/Arrowhead,90,41.582,-83.6761
"Dayton, OH",Tipp City/Troy,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Dayton Troy,80,40.0515,-84.2358
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,Ramada,Wyndham Hotels & Resorts,Ramada by Wyndham Strasburg Dover,57,40.5926,-81.5253
"Toledo, OH",Toledo West,Mid Tier,Upper Midscale,Upper Midscale,Comfort Inn,"Choice Hotels International, Inc.",Comfort Inn & Suites Maumee - Toledo (I80-90),78,41.5874,-83.6667
"Columbus, OH",Worthington/Westerville,Upper Tier,Upscale,Upscale,Four Points by Sheraton,Marriott International,Four Points by Sheraton Columbus - Polaris,100,40.1412,-82.9677
"Dayton, OH",Tipp City/Troy,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Troy by IHG,65,40.0519,-84.2377
"Akron, OH",Twinsburg/Streetsboro,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Streetsboro, OH",92,41.2401,-81.3519
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Chillicothe East,58,39.3387,-82.9535
"Cleveland, OH",Avon/I90 West,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Cleveland - Airport - North Olmsted,127,41.4154,-81.8972
"Akron, OH",Akron West,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Inn & Suites Copley Akron,53,41.1298,-81.6544
"Ohio State Area, OH",I70 Corridor,Mid Tier,Midscale,Midscale,Baymont,Wyndham Hotels & Resorts,Baymont by Wyndham Cambridge,71,39.9939,-81.5756
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,Best Western,Best Western Hotels & Resorts,Best Western Fostoria Inn & Suites,52,41.1804,-83.42
"Sandusky, OH",,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Sandusky,67,41.4042,-82.6589
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Islander Inn Resort,110,41.6511,-82.8187
"Columbus, OH",Downtown Columbus,Lower Tier,Economy,Economy,InTown Suites,InTown Suites,InTown Suites Extended Stay Columbus OH - Dublin,128,40.0641,-83.0919
"Columbus, OH",Columbus West,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Columbus - Dublin,104,40.0966,-83.1283
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,InTown Suites,InTown Suites,InTown Suites Extended Stay Columbus OH – North,136,40.0872,-82.9537
"Cincinnati, OH",CVG Airport,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn & Suites CVG Airport,107,39.057,-84.6292
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Economy,InTown Suites,InTown Suites,InTown Suites Extended Stay Cincinnati OH - Fairfield,132,39.3177,-84.4923
"Ohio State Area, OH",I70 Corridor,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Zanesville,63,39.9469,-81.9991
"Cincinnati, OH",Downtown Cincinnati,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Cincinnati - Covington,105,39.088,-84.5219
"Cleveland, OH",Strongsville/Medina,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Cleveland - Middleburg Heights,70,41.3752,-81.8225
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,Quality Inn,"Choice Hotels International, Inc.",Quality Inn,58,40.556,-84.4098
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Cincinnati - Blue Ash - Reed Hartman,100,39.2593,-84.3792
"Cleveland, OH",Avon/I90 West,Mid Tier,Upper Midscale,Upper Midscale,Wyndham Garden,Wyndham Hotels & Resorts,Wyndham Garden Westlake,73,41.4716,-81.9521
"Cleveland, OH",Strongsville/Medina,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Cleveland/Independence,115,41.4018,-81.653
"Columbus, OH",Columbus South,Lower Tier,Economy,Economy,InTown Suites,InTown Suites,InTown Suites Extended Stay Columbus OH - I-70E/Hamilton Rd,140,39.9354,-82.8686
"Cincinnati, OH",CVG Airport,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Cincinnati - Florence - Turfway Rd.,101,39.0141,-84.6306
"Dayton, OH",Dayton South/Miamisburg,Lower Tier,Economy,Economy,InTown Suites,InTown Suites,InTown Suites Extended Stay Select Dayton OH - Miamisburg,130,39.631,-84.2237
"Cleveland, OH",Cleveland Southeast,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Cleveland Beachwood,174,41.461,-81.4955
"Columbus, OH",CMH Airport,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Columbus Airport,150,39.999,-82.9314
"Cincinnati, OH",CVG Airport,Upper Tier,Upscale,Upscale,Hyatt Place,Hyatt Hotels Corporation,Hyatt Place Cincinnati Airport/Florence,127,39.0123,-84.6356
"Toledo, OH",Toledo East,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Toledo Rossford/Perrysburg,121,41.5656,-83.583
"Cleveland, OH",Avon/I90 West,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cleveland Airport North,121,41.415,-81.8986
"Cleveland, OH",Avon/I90 West,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Cleveland - Great Northern Mall,92,41.4134,-81.9099
"Ohio State Area, OH",Lima,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Lima,98,40.7269,-84.0725
"Cleveland, OH",Cleveland Southeast,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Cleveland-Solon,103,41.3951,-81.4632
"Sandusky, OH",,Mid Tier,Midscale,Midscale,Best Western,Best Western Hotels & Resorts,Best Western Norwalk,58,41.2696,-82.6107
"Cleveland, OH",Avon/I90 West,Mid Tier,Midscale,Midscale,Best Western,Best Western Hotels & Resorts,Best Western Inn,56,41.4001,-82.1182
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Inn,"Choice Hotels International, Inc.",Comfort Inn Millersburg,59,40.5425,-81.9151
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites Mason near Kings Island,79,39.3566,-84.261
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Wilmington by IHG,75,39.452,-83.7979
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Independent,Independent,Independent,Grand Islander Hotel,50,41.6519,-82.8196
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,Suburban Studios,"Choice Hotels International, Inc.",Suburban Studios Columbus North,119,40.0939,-82.988
"Toledo, OH",Toledo West,Mid Tier,Midscale,Midscale,Extended Stay America Suites,Extended Stay America,Extended Stay America Suites- Toledo - Maumee,73,41.5798,-83.6833
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Inn,"Choice Hotels International, Inc.",Comfort Inn Van Wert,57,40.8818,-84.5822
